APPLE,GOOGLE,MICROSOFT,IBM,AMAZON,BAIDU,ALIBABA,HUAWEI,SINA,JDCOM
171.1,1032.5,83.2,149.12,1137.29,239.32,185.43,71.0603,107.51,40.22
170.15,1019.09,82.4,148.97,1129.88,239.27,185.13,70.975,106.4,40.25
169.98,1018.38,82.53,150.51,1126.31,238.54,188,71.06,109.14,39.2
173.14,1034.49,83.72,151.95,1139.49,244.3,190.9,71.495,110.51,39.88
174.96,1035.96,83.11,151.77,1156.16,249.65,189.84,71.409,112.05,39.79
174.97,1040.61,83.26,151.84,1186,249.42,191.19,71.51,109.22,39.21
174.09,1054.21,83.87,151.98,1195.83,247.02,188.03,71.39,105.32,38.66
173.07,1047.41,84.88,152.47,1193.6,244.03,186.69,71.8304,105.28,38.57
169.48,1021.66,83.34,153.55,1161.27,235.49,179.91,72.218,101.23,37.83
171.85,1021.41,84.17,153.97,1176.75,238.58,177.08,73.088,97.77,37.45
171.05,1010.17,84.26,154.76,1162.35,235.07,174.61,72.7047,95.79,37.27
169.8,998.68,81.08,156.46,1133.95,229.66,169.58,72.6903,97,36.75
169.64,1005.15,81.59,155.35,1141.57,231.75,168.96,72.4,96.07,37.3
169.01,1018.38,82.78,154.1,1152.35,231.15,172.63,72.43,95.5,37.82
169.32,1030.93,82.49,153.57,1159.79,233.01,174.47,72.55,96.05,38.13
169.37,1037.05,84.16,154.81,1162,234.59,177.62,72.85,97.02,38.01
172.67,1041.1,85.23,155.41,1168.92,233.54,179.29,72.9984,99.59,38.46
171.7,1040.48,85.58,156.74,1165.08,232.73,174.64,73.1386,98.2,38.56
172.27,1040.61,85.35,153.91,1164.13,233.24,176.47,73.1,99.63,40.8
172.22,1049.15,84.69,154,1174.26,231.82,171.75,72.989,99.56,40.63
173.97,1064.19,86.85,152.5,1179.14,233.48,173.55,70.5893,100.9,40.32
176.42,1077.14,86.38,153.33,1190.58,240.93,173.37,70.91,104.34,41.68
174.54,1070.68,85.83,153.23,1187.38,235.62,171.28,70.83,102.23,42.97
174.35,1064.95,85.52,152.95,1177.62,233.37,172.64,70.8586,102.83,42.16
175.01,1063.63,85.5,151.5,1174.76,239.49,175.32,70.8105,104.61,42.27
175.01,1060.12,85.51,152.5,1168.36,239.05,176.29,70.735,104.26,42.19
170.57,1056.74,85.4,152.83,1176.76,237.83,172.33,70.785,103.69,42.14
170.6,1049.37,85.71,153.13,1182.26,237.71,172.97,70.82,104.06,42.29
171.08,1048.14,85.72,154.04,1186.1,234.74,172.3,70.97,102.6,41.63
169.23,1046.4,85.54,153.42,1169.47,234.21,172.43,70.85,100.31,41.42
172.26,1065,85.95,154.25,1189.01,242.4,183.65,71.0206,108.43,43.28
172.23,1082.48,86.35,158.49,1204.2,245.55,184,71.459,109.69,43.51
173.03,1086.4,87.11,161.7,1209.59,245.73,185.71,71.75,109.78,43.67
175,1102.23,88.19,162.49,1229.14,245.14,190.7,72.19,112.41,45.64
174.35,1106.94,88.28,163.47,1246.87,250.82,190.33,72.3147,112.64,46.1
174.33,1106.26,88.22,163.83,1252.7,254.73,190.8,72.6099,113.19,46.13
174.29,1102.61,87.82,164.18,1254.33,248.95,189.79,72.369,112.82,46.45
175.28,1105.52,88.08,164.2,1276.68,250.22,188.75,72.69,112.83,46.61
177.09,1122.26,89.6,163.14,1305.2,253.04,187.79,73.25,113,46.4
176.19,1121.76,88.35,163.85,1304.86,257.78,182.4,73,111.97,46.46
179.1,1131.98,90.14,168.65,1295,255.49,183.83,73.8572,118.96,46.61
179.26,1129.79,90.1,169.12,1293.32,254.96,184.4,73.6379,119.63,45.9
178.46,1137.51,90,162.37,1294.58,255.98,184.05,73.965,120.06,46.02
177,1155.81,91.61,162.6,1327.31,254.34,184.02,74.4586,119.1,45.26
177.04,1169.97,91.9,166.25,1362.54,257.35,192.28,74.66,119.78,45.18
174.22,1164.24,91.82,165.37,1357.51,257.96,195.53,74.42,118.02,46.74
171.11,1170.37,92.33,165.47,1377.95,254.14,198.33,74.565,118.47,47.38
171.51,1175.84,94.06,167.34,1402.05,260.25,205.22,75.5709,122.19,50.5
167.96,1175.58,93.92,166.8,1417.68,253.73,203.01,75.205,118.98,49.94
166.97,1163.69,92.74,163.62,1437.82,244.07,199.66,74.191,115.16,49.26
167.43,1169.94,95.01,163.7,1450.89,246.92,204.29,74.0428,117.25,49.23
167.78,1167.7,94.26,162.4,1390,240.53,192.22,73.99,118.54,47.55
160.5,1111.9,91.78,159.03,1429.95,233.17,187.31,72.779,112.57,46.03
156.49,1055.8,88,152.53,1390,225.32,180.53,70.05,107.77,44.6
163.03,1080.6,91.33,155.34,1442.84,228.77,185.17,70.515,108.92,45.05
159.54,1048.58,89.61,153.85,1416.78,222.5,180.3,70.51,107.7,44.39
155.15,1001.52,85.01,147.59,1350.5,212.07,173.7,67.8,101.16,42.25
156.41,1037.78,88.18,149.51,1339.6,215.67,176.67,69.06,104.38,42.93
162.71,1051.94,89.13,151.4,1386.23,221.64,177.44,69.7874,105.74,43.72
164.34,1052.1,89.83,150.75,1414.51,225.6,179.25,70.08,112.25,44.55
167.37,1069.7,90.81,154.76,1451.05,235.89,186.76,70.93,117.55,46.86
172.99,1089.52,92.66,156.01,1461.76,248.2,187.45,71.51,118.85,47.11
172.43,1094.8,92,156.18,1448.69,244.72,183.68,71.8,114.95,46.42
171.85,1102.46,92.72,155.16,1468.35,245.43,187.19,71.32,115.88,46.93
171.07,1111.34,91.49,153.96,1482.92,246.92,188.82,70.83,116.53,47.16
172.5,1106.63,91.73,153.18,1485.34,249.35,188.75,70.9,115.46,47.81
175.5,1126.79,94.06,155.52,1500,250.74,193.29,71.825,121.8,48.35
178.97,1143.75,95.42,158.58,1521.95,256.25,194.19,72.48,118.73,48.8
178.39,1118.29,94.2,156.55,1511.98,250.46,188.26,71.79,116.65,47.04
178.12,1104.73,93.77,155.83,1512.45,252.34,186.14,71.67,116.93,47.15
